10.07.2014 20:07:04;5892326124062507008;kiz;PageCall;remote;nfc
10.07.2014 20:07:45;5892326124062507008;kiz;PageCall;remote;nfc
10.07.2014 20:11:45;5892326124062507008;kiz;PageCall;remote;nfc
10.07.2014 20:39:12;5892326124062507008;kiz;PageCall;remote;nfc
10.07.2014 20:59:51;5892326124062507008;kiz;PageCall;remote;nfc
10.07.2014 21:00:36;5892326124062507008;kiz;PageCall;remote;nfc
10.07.2014 21:02:53;5892326124062507008;kiz;PageCall;remote;nfc
10.07.2014 21:03:19;5892326124062507008;rechbauer;PageCall;remote;nfc
10.07.2014 21:04:05;5892326124062507008;rechbauer;PageCall;remote;nfc
10.07.2014 21:07:09;5892326124062507008;rechbauer;PageCall;remote;nfc
10.07.2014 21:08:09;5892326124062507008;rechbauer;PageCall;remote;nfc
